ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9567561,HX218162,03/15/2014 12:00:00 AM,055XX S ADA ST,0820,THEFT,$500 AND UNDER,OTHER,false,false,0713,,16,67,06,,,2014,04/11/2014 12:40:05 AM,,,
9532593,HX186477,03/15/2014 12:00:00 AM,030XX W DIVERSEY AVE,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,false,false,1411,014,35,22,06,1155318,1918413,2014,03/22/2014 12:39:11 AM,41.93193179666549,-87.70464452726821,"(41.93193179666549, -87.70464452726821)"
9531957,HX185599,03/15/2014 12:00:00 AM,106XX S GREEN ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2233,022,34,73,26,1172495,1834296,2014,03/21/2014 12:39:35 AM,41.700743631182604,-87.64400161572641,"(41.700743631182604, -87.64400161572641)"
9531700,HX185293,03/14/2014 11:52:00 PM,003XX S CICERO AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1533,015,24,25,24,1144396,1898214,2014,03/18/2014 12:40:56 AM,41.876716288882314,-87.74529049224202,"(41.876716288882314, -87.74529049224202)"
9542073,HX195639,03/14/2014 11:51:00 PM,003XX W NORTH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),false,false,1821,018,27,8,11,1173507,1910930,2014,03/29/2014 12:39:43 AM,41.91101267217522,-87.63802596424664,"(41.91101267217522, -87.63802596424664)"
9531698,HX185292,03/14/2014 11:49:00 PM,105XX S STATE ST,1330,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,true,false,0512,005,34,49,26,1178085,1834772,2014,03/17/2014 12:39:52 AM,41.70192524014744,-87.6235187993184,"(41.70192524014744, -87.6235187993184)"
9531710,HX185280,03/14/2014 11:45:00 PM,092XX S STONY ISLAND AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,0413,004,8,48,18,1188555,1844261,2014,03/19/2014 12:41:09 AM,41.72772090909864,-87.58487918852755,"(41.72772090909864, -87.58487918852755)"
9533639,HX187517,03/14/2014 11:40:00 PM,061XX S RACINE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0712,007,16,68,26,1169413,1864033,2014,03/25/2014 12:39:08 AM,41.782413244374105,-87.65442775521346,"(41.782413244374105, -87.65442775521346)"
9531732,HX185282,03/14/2014 11:40:00 PM,004XX E 111TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,0513,005,9,49,08B,1180915,1831488,2014,03/17/2014 12:39:52 AM,41.692849022877674,-87.61325679047216,"(41.692849022877674, -87.61325679047216)"
9531789,HX185302,03/14/2014 11:39:00 PM,031XX S LITUANICA AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,CHA APARTMENT,false,false,0913,009,11,60,26,1170856,1884172,2014,04/09/2014 12:42:18 AM,41.837645352640244,-87.64854898543075,"(41.837645352640244, -87.64854898543075)"
9531711,HX185285,03/14/2014 11:35:00 PM,082XX S MARQUETTE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0423,004,7,46,08B,1195564,1850725,2014,03/19/2014 12:41:09 AM,41.74528856097722,-87.55899148568666,"(41.74528856097722, -87.55899148568666)"
9532012,HX185698,03/14/2014 11:30:00 PM,011XX N WESTERN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1212,012,1,24,06,1160240,1907542,2014,03/18/2014 12:40:56 AM,41.90200051509758,-87.68685801383404,"(41.90200051509758, -87.68685801383404)"
9547636,HX199995,03/14/2014 11:30:00 PM,101XX S STONY ISLAND AVE,0820,THEFT,$500 AND UNDER,OTHER,false,false,0431,004,10,51,06,1188711,1838198,2014,03/29/2014 12:39:43 AM,41.71107965902129,-87.58450092260233,"(41.71107965902129, -87.58450092260233)"
9532028,HX185741,03/14/2014 11:30:00 PM,047XX W CHICAGO AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,false,false,1111,011,37,25,11,1144326,1904920,2014,03/28/2014 12:40:24 AM,41.895119661971506,-87.74537881170798,"(41.895119661971506, -87.74537881170798)"
9531919,HX185536,03/14/2014 11:30:00 PM,088XX S OGLESBY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0412,004,8,48,07,1193420,1846489,2014,03/20/2014 12:38:50 AM,41.73371728290746,-87.56698552386479,"(41.73371728290746, -87.56698552386479)"
9532305,HX186186,03/14/2014 11:30:00 PM,016XX W MONTROSE AVE,0560,ASSAULT,SIMPLE,OTHER,false,false,1912,019,47,6,08A,1164821,1929253,2014,03/18/2014 12:40:56 AM,41.961480765911844,-87.66941387226352,"(41.961480765911844, -87.66941387226352)"
9531708,HX185281,03/14/2014 11:30:00 PM,044XX S WESTERN AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0922,009,12,58,24,1161065,1875370,2014,03/17/2014 12:39:52 AM,41.81370022777001,-87.68472038081515,"(41.81370022777001, -87.68472038081515)"
9531747,HX185303,03/14/2014 11:28:00 PM,072XX S EMERALD AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,true,false,0732,007,17,68,24,1172565,1856534,2014,03/17/2014 12:39:52 AM,41.761766230385106,-87.64309231052938,"(41.761766230385106, -87.64309231052938)"
9531716,HX185279,03/14/2014 11:25:00 PM,052XX S WOOD ST,0460,BATTERY,SIMPLE,STREET,false,false,0932,009,16,61,08B,1165190,1870144,2014,03/17/2014 12:39:52 AM,41.799273040560514,-87.66973756077157,"(41.799273040560514, -87.66973756077157)"
9531712,HX185265,03/14/2014 11:23:00 PM,111XX S ASHLAND AVE,0560,ASSAULT,SIMPLE,RESIDENCE,true,false,2234,022,34,75,08A,1167501,1830699,2014,03/17/2014 12:39:52 AM,41.69098110173057,-87.66239044735923,"(41.69098110173057, -87.66239044735923)"
9531722,HX185273,03/14/2014 11:20:00 PM,005XX S CAMPBELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1135,011,2,28,08B,1159776,1897629,2014,03/20/2014 12:38:50 AM,41.87480795509978,-87.68883583271528,"(41.87480795509978, -87.68883583271528)"
9535840,HX189552,03/14/2014 11:00:00 PM,022XX W HOMER ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,false,false,1434,014,32,22,14,1161025,1913006,2014,03/21/2014 12:39:35 AM,41.91697787223246,-87.68382262460518,"(41.91697787223246, -87.68382262460518)"
9531947,HX185502,03/14/2014 11:00:00 PM,034XX W ADAMS ST,0810,THEFT,OVER $500,STREET,false,false,1123,011,28,27,06,1153353,1898818,2014,03/21/2014 12:39:35 AM,41.878200621490166,-87.71238690050839,"(41.878200621490166, -87.71238690050839)"
9532052,HX185749,03/14/2014 11:00:00 PM,030XX N KEATING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2521,025,31,19,08B,1144223,1920032,2014,03/20/2014 12:38:50 AM,41.93659049780382,-87.74537660651127,"(41.93659049780382, -87.74537660651127)"
9531685,HX185258,03/14/2014 11:00:00 PM,093XX S HALSTED ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),true,false,2223,022,21,73,18,1172656,1843039,2014,03/19/2014 12:41:09 AM,41.72473216736462,-87.64315548250096,"(41.72473216736462, -87.64315548250096)"
9531674,HX185247,03/14/2014 11:00:00 PM,009XX W 19TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1235,012,25,31,18,1170836,1891160,2014,03/19/2014 12:41:09 AM,41.85682145735127,-87.64841786718138,"(41.85682145735127, -87.64841786718138)"
9532536,HX186438,03/14/2014 11:00:00 PM,059XX W MADISON ST,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,false,false,1513,015,29,25,06,1137022,1899447,2014,03/19/2014 12:41:09 AM,41.880235252688195,-87.77233633441908,"(41.880235252688195, -87.77233633441908)"
9531976,HX185513,03/14/2014 11:00:00 PM,120XX S DOTY AVE E,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,TAVERN/LIQUOR STORE,false,false,0532,005,10,51,04B,1184385,1824868,2014,03/18/2014 12:40:56 AM,41.674602543833934,-87.6007586874103,"(41.674602543833934, -87.6007586874103)"
9531682,HX185271,03/14/2014 11:00:00 PM,002XX W 26TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0914,009,11,34,14,1174770,1887024,2014,03/17/2014 12:39:52 AM,41.84538494271557,-87.63410167815167,"(41.84538494271557, -87.63410167815167)"
9533627,HX187814,03/14/2014 11:00:00 PM,023XX W 52ND ST,0810,THEFT,OVER $500,GOVERNMENT BUILDING/PROPERTY,false,false,0932,009,16,63,06,1161846,1870003,2014,04/06/2014 12:38:43 AM,41.79895630522174,-87.68200479655997,"(41.79895630522174, -87.68200479655997)"
9531714,HX185246,03/14/2014 10:59:00 PM,0000X E CHICAGO AVE,0460,BATTERY,SIMPLE,RESTAURANT,true,false,1833,018,42,8,08B,1176344,1905771,2014,03/17/2014 12:39:52 AM,41.896792558131594,-87.62775981000189,"(41.896792558131594, -87.62775981000189)"
9531659,HX185236,03/14/2014 10:55:00 PM,055XX W GRAND AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,POLICE FACILITY/VEH PARKING LOT,true,false,2515,025,29,19,26,1138769,1913443,2014,03/22/2014 12:39:11 AM,41.91861046365038,-87.76558133919194,"(41.91861046365038, -87.76558133919194)"
9531681,HX185244,03/14/2014 10:52:00 PM,002XX S STATE ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,true,false,0113,001,42,32,26,1176378,1899126,2014,03/17/2014 12:39:52 AM,41.87855755408306,-87.62783559007123,"(41.87855755408306, -87.62783559007123)"
9531650,HX185237,03/14/2014 10:50:00 PM,052XX W WRIGHTWOOD AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,2514,025,31,19,18,1141025,1916834,2014,03/19/2014 12:41:09 AM,41.92787444432301,-87.75720877290914,"(41.92787444432301, -87.75720877290914)"
9531719,HX185298,03/14/2014 10:50:00 PM,109XX S STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0513,005,34,49,08B,1178149,1832618,2014,03/19/2014 12:41:09 AM,41.69601291159425,-87.62334947031958,"(41.69601291159425, -87.62334947031958)"
9531633,HX185229,03/14/2014 10:45:00 PM,014XX S CANAL ST,1330,CRIMINAL TRESPASS,TO LAND,OTHER,true,false,0124,001,2,28,26,1173326,1893057,2014,03/17/2014 12:39:52 AM,41.861972097427255,-87.6392219850766,"(41.861972097427255, -87.6392219850766)"
9531741,HX185253,03/14/2014 10:45:00 PM,004XX N HOMAN AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,STREET,true,true,1123,011,27,23,26,1153601,1902573,2014,03/19/2014 12:41:09 AM,41.88849979834845,-87.71137637192862,"(41.88849979834845, -87.71137637192862)"
9531742,HX185261,03/14/2014 10:45:00 PM,022XX S KOLIN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,1013,010,22,29,26,1147961,1888659,2014,03/19/2014 12:41:09 AM,41.85042842779669,-87.7324463486106,"(41.85042842779669, -87.7324463486106)"
9531694,HX185266,03/14/2014 10:40:00 PM,048XX S CALIFORNIA AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,0922,009,14,58,18,1158565,1872306,2014,03/19/2014 12:41:09 AM,41.805343632317665,-87.69397422394054,"(41.805343632317665, -87.69397422394054)"
9531751,HX185240,03/14/2014 10:36:00 PM,088XX S JUSTINE ST,0810,THEFT,OVER $500,STREET,false,true,2221,022,21,71,06,1167504,1846271,2014,04/02/2014 12:41:31 AM,41.73371305926922,-87.66193492533637,"(41.73371305926922, -87.66193492533637)"
9531678,HX185231,03/14/2014 10:32:00 PM,095XX S HALSTED ST,0560,ASSAULT,SIMPLE,STREET,false,true,2223,022,21,73,08A,1172611,1841779,2014,03/27/2014 12:41:25 AM,41.72127553872084,-87.64335730903493,"(41.72127553872084, -87.64335730903493)"
9531817,HX185336,03/14/2014 10:30:00 PM,006XX N STATE ST,0460,BATTERY,SIMPLE,TAXICAB,false,false,1832,018,42,8,08B,1176218,1904517,2014,03/17/2014 12:39:52 AM,41.89335436140334,-87.62826043114151,"(41.89335436140334, -87.62826043114151)"
9532011,HX185690,03/14/2014 10:30:00 PM,002XX E 78TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0623,006,6,69,05,1179215,1853388,2014,03/25/2014 12:39:08 AM,41.75298424570305,-87.61881527297128,"(41.75298424570305, -87.61881527297128)"
9532032,HX185710,03/14/2014 10:30:00 PM,051XX N WINTHROP AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2033,020,48,3,14,1167898,1934495,2014,03/22/2014 12:39:11 AM,41.9757990054091,-87.65794925417188,"(41.9757990054091, -87.65794925417188)"
9532000,HX185726,03/14/2014 10:30:00 PM,027XX N MILDRED AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,false,false,1935,019,43,7,14,1169771,1918291,2014,03/22/2014 12:39:11 AM,41.931293921619805,-87.65153563294514,"(41.931293921619805, -87.65153563294514)"
9531917,HX185492,03/14/2014 10:30:00 PM,003XX N DEARBORN ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,1831,018,42,8,06,1175844,1902599,2014,03/19/2014 12:41:09 AM,41.88809969237749,-87.62969174791053,"(41.88809969237749, -87.62969174791053)"
9531717,HX185226,03/14/2014 10:30:00 PM,027XX W 37TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0911,009,12,58,08B,1158859,1879718,2014,03/18/2014 12:40:56 AM,41.825677079970205,-87.69269327822319,"(41.825677079970205, -87.69269327822319)"
9531664,HX185239,03/14/2014 10:26:00 PM,024XX S SACRAMENTO AVE,4510,OTHER OFFENSE,PROBATION VIOLATION,APARTMENT,true,false,1033,010,12,30,26,1156709,1887572,2014,03/17/2014 12:39:52 AM,41.84727311340613,-87.70036882353894,"(41.84727311340613, -87.70036882353894)"
9531736,HX185277,03/14/2014 10:25:00 PM,069XX S CRANDON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,false,false,0331,003,5,43,14,1192567,1859261,2014,03/17/2014 12:39:52 AM,41.76878551652711,-87.5696951541266,"(41.76878551652711, -87.5696951541266)"
9531725,HX185220,03/14/2014 10:24:00 PM,014XX N LOTUS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2532,025,37,25,08B,1139715,1908901,2014,03/20/2014 12:38:50 AM,41.90612946077022,-87.76221672017832,"(41.90612946077022, -87.76221672017832)"
9531675,HX185245,03/14/2014 10:20:00 PM,041XX W MADISON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1115,011,28,26,16,1148994,1899735,2014,03/19/2014 12:41:09 AM,41.8808023982774,-87.72836854783272,"(41.8808023982774, -87.72836854783272)"
9569108,HX185241,03/14/2014 10:20:00 PM,008XX N TRUMBULL AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,false,false,1121,,27,23,18,,,2014,04/12/2014 12:41:09 AM,,,
9531695,HX185221,03/14/2014 10:15:00 PM,054XX W JACKSON BLVD,0820,THEFT,$500 AND UNDER,STREET,false,true,1522,015,29,25,06,1140177,1898095,2014,03/26/2014 12:40:14 AM,41.876468013212154,-87.76078446871959,"(41.876468013212154, -87.76078446871959)"
9531738,HX185238,03/14/2014 10:10:00 PM,002XX N LAVERGNE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1532,015,28,25,18,1143041,1901218,2014,03/19/2014 12:41:09 AM,41.884985001865985,-87.75019074496258,"(41.884985001865985, -87.75019074496258)"
9531660,HX185230,03/14/2014 10:08:00 PM,049XX S DR MARTIN LUTHER KING JR DR,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,0223,002,4,38,18,1179743,1872022,2014,03/19/2014 12:41:09 AM,41.80410574398544,-87.61631099654389,"(41.80410574398544, -87.61631099654389)"
9531654,HX185215,03/14/2014 10:05:00 PM,023XX N SHEFFIELD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,true,false,1811,018,32,7,18,1169198,1915733,2014,03/19/2014 12:41:09 AM,41.92428712720914,-87.65371579662833,"(41.92428712720914, -87.65371579662833)"
9531677,HX185249,03/14/2014 10:05:00 PM,026XX W MADISON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1125,011,2,27,16,1159137,1899883,2014,03/19/2014 12:41:09 AM,41.88100628590769,-87.69112004994861,"(41.88100628590769, -87.69112004994861)"
9531971,HX185662,03/14/2014 10:00:00 PM,0000X W HUBBARD ST,0890,THEFT,FROM BUILDING,OTHER,false,false,1831,018,42,8,06,1175758,1903264,2014,03/17/2014 12:39:52 AM,41.88992642322626,-87.62998754843325,"(41.88992642322626, -87.62998754843325)"
9532179,HX185989,03/14/2014 10:00:00 PM,079XX S EVANS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0624,006,6,44,07,1182648,1852320,2014,03/21/2014 12:39:35 AM,41.749974614874034,-87.60626787382077,"(41.749974614874034, -87.60626787382077)"
9536328,HX188773,03/14/2014 10:00:00 PM,019XX W CORTLAND ST,0810,THEFT,OVER $500,BAR OR TAVERN,false,false,1434,014,32,22,06,1163145,1912614,2014,03/21/2014 12:39:35 AM,41.915857875654,-87.67604480237345,"(41.915857875654, -87.67604480237345)"
9532327,HX186242,03/14/2014 10:00:00 PM,067XX S MARSHFIELD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0725,007,15,67,05,1166552,1859684,2014,03/18/2014 12:40:56 AM,41.77054053809541,-87.66504091105413,"(41.77054053809541, -87.66504091105413)"
9532235,HX185902,03/14/2014 10:00:00 PM,032XX S LEAVITT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0912,009,12,59,14,1162253,1883038,2014,03/18/2014 12:40:56 AM,41.834717405402856,-87.68014886025706,"(41.834717405402856, -87.68014886025706)"
9532008,HX185728,03/14/2014 10:00:00 PM,023XX W HADDON AVE,0810,THEFT,OVER $500,STREET,false,false,1212,012,1,24,06,1160267,1907535,2014,03/18/2014 12:40:56 AM,41.90198074816053,-87.68675903289517,"(41.90198074816053, -87.68675903289517)"
9531946,HX185589,03/14/2014 10:00:00 PM,056XX S SEELEY AVE,0810,THEFT,OVER $500,STREET,false,false,0715,007,15,67,06,1163623,1867004,2014,03/18/2014 12:40:56 AM,41.7906895392361,-87.67557225981898,"(41.7906895392361, -87.67557225981898)"
9531951,HX185532,03/14/2014 10:00:00 PM,012XX W LEXINGTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1231,012,25,28,14,1167878,1896787,2014,03/17/2014 12:39:52 AM,41.87232664774642,-87.65911308395741,"(41.87232664774642, -87.65911308395741)"
9531702,HX185286,03/14/2014 10:00:00 PM,055XX W GLADYS AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1522,015,29,25,05,1139771,1897759,2014,04/09/2014 12:42:18 AM,41.87555340742051,-87.76228339796081,"(41.87555340742051, -87.76228339796081)"
9531684,HX185233,03/14/2014 09:52:00 PM,070XX S VINCENNES AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0731,007,6,69,18,1176895,1858378,2014,03/19/2014 12:41:09 AM,41.76672993526672,-87.6271669948344,"(41.76672993526672, -87.6271669948344)"
9531637,HX185212,03/14/2014 09:52:00 PM,019XX S PULASKI RD,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,PARKING LOT/GARAGE(NON.RESID.),true,false,1012,010,24,29,08B,1149979,1890300,2014,03/18/2014 12:40:56 AM,41.854892547535485,-87.72499718725469,"(41.854892547535485, -87.72499718725469)"
9531653,HX185205,03/14/2014 09:50:00 PM,069XX W SHAKESPEARE AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,true,false,2512,025,36,25,18,1129903,1913561,2014,03/19/2014 12:41:09 AM,41.91909071672521,-87.79815372598017,"(41.91909071672521, -87.79815372598017)"
9531625,HX185201,03/14/2014 09:50:00 PM,079XX S LAWNDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0834,008,18,70,08B,1153051,1851903,2014,03/21/2014 12:39:35 AM,41.74946542401852,-87.71473580931492,"(41.74946542401852, -87.71473580931492)"
